Word: marvel, TF-IDF: 3178.3582596721158
Word: superherofeed, TF-IDF: 1214.2417951880152
Word: spiderman, TF-IDF: 1001.0982013677323
Word: civil, TF-IDF: 822.273324459663
Word: movie, TF-IDF: 817.2658000101306
Word: marvels, TF-IDF: 808.8027029978646
Word: cast, TF-IDF: 732.8767336165566
Word: comics, TF-IDF: 723.0630651391799
Word: new, TF-IDF: 684.1851648705817
Word: wars, TF-IDF: 646.0752748812816
Word: love, TF-IDF: 643.037543241414
Word: captain, TF-IDF: 630.1856723468701
Word: war, TF-IDF: 602.7960270300956
Word: dc, TF-IDF: 593.7707826840792
Word: thor, TF-IDF: 557.6070274053969
Word: action, TF-IDF: 544.3069653923411
Word: america, TF-IDF: 541.1692512031279
Word: vincentdonofrio, TF-IDF: 532.5393399432938
Word: thorragnarok, TF-IDF: 530.9902018879658
Word: tell, TF-IDF: 516.9417864053358
Word: black, TF-IDF: 513.217489960969
Word: universe, TF-IDF: 509.8829584605535
Word: billion, TF-IDF: 490.1783629738461
Word: ragnarok, TF-IDF: 469.5126967165631
Word: ign, TF-IDF: 451.53630799149823
Word: studios, TF-IDF: 451.03143271719534
Word: confirms, TF-IDF: 435.62985893309184
Word: xmen, TF-IDF: 421.9636406577571
Word: avengers, TF-IDF: 420.0702913763213
Word: star, TF-IDF: 416.70414883309064
Word: shirtless, TF-IDF: 410.28593393529025
Word: members, TF-IDF: 409.26916573228846
Word: homecoming, TF-IDF: 402.7832427257513
Word: movies, TF-IDF: 391.48363494169604
Word: stellar, TF-IDF: 391.36793453058846
Word: history, TF-IDF: 378.5568072283695
Word: amp, TF-IDF: 377.0763640397301
Word: iron, TF-IDF: 376.0475536801391
Word: cinematic, TF-IDF: 367.50438357754956
Word: friend, TF-IDF: 358.39577910333173
Word: unless, TF-IDF: 349.70422046800576
Word: wants, TF-IDF: 328.1518383006633
Word: jane, TF-IDF: 312.144353118117
Word: comic, TF-IDF: 304.55985402757767
Word: panther, TF-IDF: 303.5864791383407
Word: like, TF-IDF: 302.7228454269284
Word: mary, TF-IDF: 300.37824964368934
Word: fans, TF-IDF: 295.03358813397625
